2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:28:51 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:29:21 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:29:21 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:29:21 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:21 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:29:51 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:29:51 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:29:51 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:29:51 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:30:21 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:30:21 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:30:21 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:21 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:22 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:30:52 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:30:52 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:30:52 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:30:52 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:31:22 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:31:22 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:31:22 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:22 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:31:52 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:31:52 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:31:52 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:52 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:31:53 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:32:23 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:32:23 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:32:23 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:23 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:32:53 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:32:53 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

